Question,Answer,
What happens after I return my vehicle?,"Confirm the Dealership will accept the return. Only your originating Dealer is required to accept your lease return. To minimize any potential delays processing your lease return, you can notify us of your return by logging onto Toyotafinancial.com or your Toyota Financial Services App and follow the Lease End return prompts. You can also notify us by telephone at (800) 874-8822 using our automated system or speaking with a live agent.
The dealership will complete a final inspection at your return appointment, and ask you to sign the [Odometer Disclsoure Statement](https://www.toyotafinancial.com/content/dam/nextgen-shared/lease-end/TF_odometer_statement_6197.pdf), and provide you with a copy of it for your records. Capture the name of dealer associate that helped with the return.
TFS will send you a Lease-End invoice if you have any unpaid payments, late fees and miscellaneous charges. The invoice will also include Excessive Wear and Use charges, Excessive Mileage charges, and Disposition Fee if applicable. These items may be taxable.
If you had a security deposit, it will be returned to your home address via check. It will be used to first pay any Lease-End invoice charges, if applicable.
[Cancel any electronic payments](https://www.toyotafinancial.com/dss/login?deeplink=paymentspayments)."
How will TFS contact me before my lease ends?," Leading up to lease-end, youll receive various communications from TFS about your options and things you need to do. Be on the lookout for information from us through toyotafinancial.com, email and/or phone calls. "
What is my lease maturity date?, This is the date when your lease agreement ends and your vehicle should be returned to a Toyota dealer (unless you choose the option to purchase your leased vehicle). 
What charges should I expect on my End of Term Invoice after I turn in my vehicle?,"Excess wear and use
Excess mileage
Disposition fee
Any past due and unpaid monthly payments
Any other miscellaneous charges (e.g., unpaid late payment fees, taxes, tolls)
Any other charges due under the terms of your lease agreement if your lease was terminated early"
Do I return my license plates when I turn in my vehicle?, Great question - it varies by state. Please contact your Toyota dealer or the DMV if you have questions about how this applies to you. 
Do I need to cancel any electronic payments at the end of my lease?," Yes, and this is one people forget. If youve returned your vehicle, please remember to cancel any automated payments you may have set up through either toyotafinancial.com or your bank. "
How do I purchase my current vehicle?,"First, great decision. Next, get a payoff quote by logging into your [TFS online account](https://www.toyotafinancial.com/dss/login?deeplinkpurchase_vehicle) or contacting TFS at [1-800-286-0652](tel:1-800-286-0652) . If you need financing, you can head straight to your dealer for help."
Whats the easiest way to get into a new Toyota?, Just bring your vehicle back to your Toyota dealer at the end of your lease and they can help you with the rest. 
Whats considered excessive wear and use?," It probably seems obvious, but damage that is beyond normal wear and use is considered excessive If it helps to see some examples of whats considered excessive, check out our [Wear and Use Guidelines](https://www.toyotafinancial.com/content/dam/nextgen-shared/lease-end/Toyota_Lease-End_EWU.pdf). We also recommend reviewing your lease agreement as it includes additional excess wear and use information specific to your vehicle. Just a heads up, though, the examples provided may not include all instances of excessive damage that could subject you to additional charges based on the terms of your lease agreement. "
Can I make repairs to my lease vehicle so I dont incur wear and use charges?,"Of course. In fact, we encourage you to schedule a complimentary inspection 3 and to review the [Wear and Use Guidelines](https://www.toyotafinancial.com/content/dam/nextgen-shared/lease-end/Toyota_Lease-End_EWU.pdf) to see whether your vehicle has wear and use that is considered excessive. If repair work is needed and youd like to make repairs prior to turning in the vehicle, your local Toyota dealer is a great option to assist you. Be sure to keep all of your receipts for repairs made and review your insurance policy to see if any items may be covered. If your damages exceeding normal wear and use arent repaired, it can result in charges at lease termination. 4 All charges may be subject to sales tax. 3 Available to Toyota Financial Services lease customers that do not reside in Alaska or Hawaii and whose leases did not originate in New Hampshire or Wisconsin. 4 If repairs are made to your vehicle, you or the dealer may request an inspection upon turn-in. Under certain circumstances, Toyota Financial Services does not charge its lease customers for excess wear and use damage. See your lease agreement for additional information."
What is a courtesy pre-inspection?,A courtesy pre-inspection by your Toyota dealer assesses the condition of your vehicle and provides an estimate of wear and use charges that could be due at lease-end. 3 3 Courtesy pre-inspection available to lease customers who do not reside in Hawaii or whose leases did not originate in New Hampshire or Wisconsin.
How do I schedule a courtesy pre-inspection appointment?,You can contact your originating dealer or any Toyota dealer to determine if they can conduct a courtesy pre-inspection and schedule an appointment. 3 3 Courtesy pre-inspection available to lease customers who do not reside in Hawaii or whose leases did not originate in New Hampshire or Wisconsin.
What do I need for my courtesy pre-inspection and lease return appointments?,"Vehicle keys
Toolkit and spare tire
Owner's Manual
Original equipment"
What should I do after my courtesy pre-inspection?," After your courtesy pre-inspection, you can discuss the inspection report immediately with the dealer in person. You can also access the report via the Document Center on our mobile app or toyotafinancial.com. You can make repairs before turning in your vehicle-just be sure to keep receipts for your records "
Where can I find my mileage allowance?, The easiest way to find your mileage allowance is by looking at your lease agreement. If you cant find your lease agreement - no worries - your friends at your local dealer will be happy to help you find it. 
What if I go over my mileage allowance?," No problem, it happens. You just need to call your dealer and they can give you more info on any potential charges. "
Can I get additional miles?," We love the question and wish there was a way to purchase additional miles. Unfortunately, were not currently offering that as an option. "
How can I see the mileage allowance in my lease agreement and track progress?,"Log in to your account
Select “Menu” from the top navigation bar
Select “Mileage Calculator” under Manage Account"
How do I obtain a username and password to access my TFS account?," You must be a registered TFS account holder to obtain a username and password. To register your account, please [click here to register](https://m.my.toyotafinancial.com/pub/w/registration) or download the MyTFS app from the App Store or Google Play. "
Why isnt my password working?,"Passwords are case-sensitive
Make sure the CAPS LOCK key on your computer or device is off, then re-enter your password
Passwords may return invalid if there are blank spaces
Make sure there are no additional spaces in your entry, then retry your password"
I forgot my password. How can I retrieve it?, Click [here](https://m.my.toyotafinancial.com/pub/w/forgot_password) if you have forgotten your password. 
Why isnt my username working?,"Usernames are case-sensitive
For security reasons, we no longer accept email addresses as usernames
If you used your email as your username, make sure the CAPS LOCK key on your computer or device is off, and then re-enter your username
Log in [here](/us/en/external_login.html) on your desktop or laptop using your current username. This will prompt you to update your username to comply with our new requirements"
I forgot my username. How can I retrieve it?, Click [here](https://www.toyotafinancial.com/dss/self-service/credential-recovery) if you have forgotten your username. 
I forgot the secret answer to my security question. How do I reset it?," Click the Forgot Answer link below the Answer field, and this will you allow you to reset you answer. "
What do I do if Im locked out of my account?,"Click [here](https://m.my.toyotafinancial.com/pub/w/forgot_password?action=unlock) to unlock your account.
You will be asked for the following information to unlock your account:
Account Number
Last 4 digits of your SSN / TAX ID
Account Number
Last 4 digits of your SSN / TAX ID"
What is credit?,"Say you want to purchase or lease a car, but dont have enough money to pay for it all at once. Enter credit. Credit allows customers to take possession of something, in our case a vehicle, before it is fully paid. A financial institution extends credit for the item, on the expectation that payment will be completed in the future. With credit through Toyota Financial Services, you can either finance (make monthly payments on an amount borrowed to pay for the purchase) or lease (pay for the use of a vehicle for a set period of time plus any lease charges)."
What is your credit made of?,"There are a few factors that make up someones credit:
Credit Report
A credit report is issued by an independent credit reporting agency and includes personal information; credit information like accounts, dates opened, account numbers, terms, amounts borrowed and payment history; how many creditors have requested your credit report; and public records of tax liens, bankruptcies and court-awarded judgments.
Credit reports are generated by each of the three major credit-reporting bureaus: Equifax, Experian, and TransUnion. What is reflected in your credit report may be used to compute your credit score.
Credit Score
Your credit score, sometimes referred to as a FICO score, can range from 300-850. The higher it is, the better. Good credit scores can make it easier and cheaper to get credit for the things you want. Basically, the scores have become a way to see how an individuals credit compares to hundreds of thousands of other consumers, and are used by financial institutions to decide how likely you are to honor your financial commitments.
Actually, you have more than one credit score. Each of the three bureaus uses a different score for its own purposes, and theyre not all the same for each person. These scores will also fluctuate from time to time, and may differ based on how each bureau calculates scores based on its stated criteria. To keep your credit in good standing its important to be proactive."
Whats considered excessive wear and use?," It probably seems obvious, but damage that is beyond normal wear and use is considered excessive. If it helps to see some examples of whats considered excessive, check out our [Wear and Use Guidelines](https://www.toyotafinancial.com/content/dam/nextgen-shared/lease-end/Toyota_Lease-End_EWU.pdf). We also recommend reviewing your lease agreement as it includes additional excess wear and use information specific to your vehicle. Just a heads-up, though, the examples provided may not include all instances of excessive damage that could subject you to additional charges based on the terms of your lease agreement. "
Can I make repairs to my lease vehicle so I dont incur wear and use charges?,"Of course. In fact, we encourage you to schedule a courtesy pre-inspection 1 and to review the [Wear and Use Guidelines](https://www.toyotafinancial.com/content/dam/nextgen-shared/lease-end/TFS_Lease-End_Guide_feb2020.pdf) to see whether your vehicle has wear and use that is considered excessive. If repair work is needed and youd like to make repairs prior to turning in the vehicle, your local Toyota dealer is a great option to assist you. Be sure to keep all of your receipts for repairs made and review your insurance policy to see if any items may be covered. If your damages exceeding normal wear and use arent repaired, it can result in charges at lease termination. 2 All charges may be subject to sales tax. 1 Courtesy pre-inspection available to lease customers who do not reside in Hawaii or whose leases did not originate in New Hampshire or Wisconsin. 2 If repairs are made to your vehicle, you or the dealer may request an inspection upon turn-in. Under certain circumstances, TFS does not charge its lease customers for excess wear and use damage. See your lease agreement for additional information."
What is a courtesy pre-inspection?,A courtesy pre-inspection by your Toyota dealer assesses the condition of your vehicle and provides an estimate of wear and use charges that could be due at leas-end. 1 1 Courtesy pre-inspection available to lease customers who do not reside in Hawaii or whose leases did not originate in New Hampshire or Wisconsin.
How do I schedule a courtesy pre-inspection?,You can contact your originating dealer or any Toyota dealer to determine if they can conduct a courtesy pre-inspection and schedule an appointment. 1 We recommend completing this within 60 days before your vehicle return. 1 Courtesy pre-inspection available to lease customers who do not reside in Hawaii or whose leases did not originate in New Hampshire or Wisconsin.
What do I need for my courtesy pre-inspection and lease return appointments?,"Vehicle keys
Toolkit and spare tire
Owner's Manual
Original Equipment"
What should I do after my courtesy pre-inspection?," After your courtesy pre-inspection, you can discuss the inspection report immediately with the dealer in person. You can also access the report via the Document Center on our mobile app or at toyotafinancial.com. You can make repairs before turning in your vehicle-just be sure to keep receipts for your records. "
What if I purchased Excess Wear & Use Protection?,"If you purchased Excess Wear & Use Protection, you should be in great shape to avoid most charges, and heres what youre covered for:
Each eligible event valued at $1,000 or less Each eligible missing part or equipment valued at $200 or less Up to $5,000 in excess wear and use charges
If you didnt purchase Excess Wear & Use Protection, well still be here to help. Our biggest recommendation would be to call and schedule a courtesy pre-inspection1. That way you can fix any damage and there wont be surprises at lease-end.
1Courtesy pre-inspection available to lease customers who do not reside in Hawaii or whose leases did not originate in New Hampshire or Wisconsin."
Should I schedule a courtesy pre-inspection?,"If you think you may have excessive wear and use, then scheduling a courtesy pre-inspection1 is a smart idea.
1Courtesy pre-inspection available to lease customers who do not reside in Hawaii or whose leases did not originate in New Hampshire or Wisconsin.
Benefits of a courtesy pre-inspection:
Knowing the condition of your vehicle before the end of your lease allows you to make well-informed decisions Discussing the vehicle condition with your dealer may be beneficial in helping make your lease-end decision Detailed condition reports, itemizing any estimated excess wear and use fees, are available immediately after your inspection. You can discuss the inspection report with the dealer and access it via the Document Center on our mobile app or at toyotafinancial.com"
What do I need for my courtesy pre-inspection and lease return appointments?,"Vehicle keys
Toolkit and spare tire
Owner's Manual
Original Equipment"
What is credit?,"Say you want to purchase or lease a car, but dont have enough money to pay for it all at once. Enter credit. Credit allows customers to take possession of something, in our case a vehicle, before it is fully paid. A financial institution extends credit for the item, on the expectation that payment will be completed in the future. With credit through Toyota Financial Services, you can either finance (make monthly payments on an amount borrowed to pay for the purchase) or lease (pay for the use of a vehicle for a set period of time plus any lease charges)."
What is a FICO score and how can I find out more about my credit rating?,"Equifax
Experian
TransUnion
Innovis"
Im a current college student. Do I need a co-buyer or lessee to finance or lease a Toyota?," If you meet our criteria as a current college student or recent graduate, you can qualify for TFS College Finance and Lease Programs and wont need a co-buyer. "
Do I need to cancel any electronic payments at the end of my lease?," Yes, and this is one people forget. If youve returned your vehicle, please remember to cancel any automated payments you may have set up through either toyotafinancial.com or your bank. "
How do I purchase my current vehicle?,"Log in to the website
Select ""Menu"" from the top navigation bar
Select “End Of Lease Options” under Manage Account
Select “Purchase Your Vehicle”
Select “Confirm” to validate your address
See options to purchase"
Whats the easiest way to get into a new Toyota?, Just bring your vehicle back to your Toyota dealer at the end of your lease and they can help you with the rest. 
Why was my recurring payment cancelled?," If your final lease payment has been made, we will automatically cancel recurring payments. "
Where can I find payoff information for loan account?,"Log into the website or mobile app
From the dashboard, select “Payoff Quote” under Remaining Balance
You can then submit your payoff payment online or send the payment via mail.
A Payoff Quote is good for 10 days from the date it is provided. *
After that time, you can log in to the website or mobile app and view an updated Payoff Quote."
How can I send the payoff funds for my loan account?,"Register or Log in to the website and select “Payoff Quote” from the dashboard to view your payoff amount.
Select “Payoff” button to make your payment."
"Once my loan is paid off, how long will it take to receive my vehicle title/lien release?","Generally, we'll send the title/lien release to you or an authorized recipient, within 10 business days after the payoff is posted to your account, depending on payment method and applicable state law.
Allow 15-30 business days for United States Postal Service delivery.
Generally, we’ll notify the state of the lien release within 10 business days after the payoff is posted to your account, depending on payment method and applicable state law.
Allow 6-8 weeks for the state to provide you with your title.
Exception: Florida and Arizona generally require the title to remain electronic unless the owner requests a paper title.
For additional questions, please contact your state titling agency."
Where will the title/lien release be sent?,"We’ll mail the title/lien release to your primary address on file, unless instructed otherwise.  Your primary address is either the garage address for the vehicle or your mailing address, if you provided a separate address to receive TFS correspondence.
We’ll notify the state of the lien release, and they’ll typically mail the title to the registered owner’s address unless instructed otherwise.
Exception: Florida and Arizona generally require the title to remain electronic unless the owner requests a paper title)."
How can I update my title/lien release delivery address?,"If payoff funds are sent via mail, you may include written instructions with the payoff funds.
After you have paid off, if you need to update the delivery address, please contact us at (800) 874-8822.
Written or verbal authorization is required for the title/lien release to be sent to a third party (e.g., dealer, insurance company, another financial institution or individual third party).  Please include your written authorization with the mailed payoff funds or contact us at (800) 874-8822."
What should I do if I paid off my loan but have not received my title/lien release?,"If it has been more than 40 business days since your payoff was posted, please contact us at (800) 874-8822.
If it has been more than 9.5 weeks since your payoff was posted, contact your local state titling agency."
How will the new website and payment experience impact my payments?,"When you log in to your account after November 12, 2023, you will see upgrades to the website and payment experience. Recurring Payments: If you had recurring payments set up prior to November 12, 2023, they will continue to process with the bank account information you submitted when the payment was set up, and you do not need to take any action. If you need to cancel this recurring payment, you can do so when you log in to your account and view your transactions. If you are looking to edit or modify your recurring payment, you can do so by cancelling and setting up a new recurring payment. Scheduled One Time Payments: If you set up a scheduled one-time payment prior to November 12, 2023, it will continue to process with the bank account information you submitted when the payment was set up, and you do not need to take any action. If you need to cancel this scheduled payment, you can do so when you log in to your account and view your transactions. If you are looking to edit or modify your scheduled one-time payment, you can do so by cancelling and setting up a new payment. Payments made or scheduled on the website after November 12, 2023 will now appear on your bank statement as Toyota ACH rather than Web Payment  Toyota Financial."
How will the new website and payment experience impact my saved bank accounts?," As we transition to the new payment experience, you may be asked to add your bank account information again when you set up a future payment. Once you add and save this information, you can access it for future use. If you have recently made a payment on the mobile app or via phone, you may see the bank account information used for that transaction reflected as a payment option. As always, youll want to ensure that you review and confirm the details of the bank account you are selecting prior to submitting any payment. "
What is the difference between Pay Online and the AutoCheque program?,"Pay Online is a flexible and convenient electronic payment method that allows you to schedule, view, update, or cancel payments, and check the payment processing status on our website. Customers can also schedule one-time payments and set up Recurring Payment Profiles. You enrolled in Pay Online when you registered on to the website. To make payments or view website payment details, you need to add a bank account. The AutoCheque program offers the convenience of automatically debiting your bank each month. To get started, download the [AutoCheque Enrollment Authorization Form](/content/dam/tmcc-webcommons/toyotafinancial/documents/planning_tools/ways_to_pay/TFS_Auto_Cheque_Form.pdf) and follow the instructions in the form (Note: To access this form, you need to install the free [Adobe Acrobat Reader DC](https://get.adobe.com/reader/) onto your computer). After receiving your completed and signed form, we will process your enrollment request. Enrollment is generally completed within 14 business days."
How do I set up a one-time or recurring payment?,"Log in to the website
Select ""Set Up Recurring Payments"" or “Make One-Time Payment” from your Dashboard
Fill in the required fields to schedule your payment
Select ""Confirm"" on the Payment page"
